"Solution cost";"Subservices included";"Description"
"2018-08-06 16:24:57_491.5900884834002";"Cusomer form id";"Product for customer with this id"
"2.0 DHA";"Tariff";"Tariff parameter"
"Menor de 10 kW";"Power";"Power parameter"
"60";"Consumption";"Consumption parameter"
"Domestico";"Customer type";"Customer type parameter"
"12";"Funding duration";"Funding duration parameter"
"4";"Green energy interest";"Green energy_interest parameter"
"3";"Battery interest";"battery interest parameter"
"4";"Smarthome interest";"Smarthome interest parameter"
"5";"Vehicle interest";"Vehicle interest parameter"
"2";"Business manager interest";"Business manager interest parameter"
"2";"Maintenance interest";"Maintenance interest parameter"
"1";"Insurance interest";"Insurance interest parameter"
"695,471";"All subservices";"Cost of the product with all the subservices included without considering interest (real value)"
"505,017";"All subservices with interest normalization";"Cost of the product with all the subservices included but normalizing price with interest (maximum value for the customer)"
"19,45";"Energy supply";"Main cost: energy supply (monthly)"
"71,664";"{'interest_vehicle_cost': 70.34630215323047, 'interest_green_energy_cost': 0.5855323213799852, 'insurance_maintenance_cost': 0.3434735847404225, 'interest_bm_cost': 0.38899957957193265}";"Subservice feasible combination (monthly)"
"434,671";"{'interest_green_energy_cost': 0.5855323213799852, 'interest_smarthome_cost': 433.3528709251465, 'insurance_maintenance_cost': 0.3434735847404225, 'interest_bm_cost': 0.38899957957193265}";"Subservice feasible combination (monthly)"
"504,432";"{'interest_vehicle_cost': 70.34630215323047, 'interest_smarthome_cost': 433.3528709251465, 'insurance_maintenance_cost': 0.3434735847404225, 'interest_bm_cost': 0.38899957957193265}";"Subservice feasible combination (monthly)"
"504,628";"{'interest_vehicle_cost': 70.34630215323047, 'interest_smarthome_cost': 433.3528709251465, 'insurance_maintenance_cost': 0.3434735847404225, 'interest_green_energy_cost': 0.5855323213799852}";"Subservice feasible combination (monthly)"
"504,674";"{'interest_vehicle_cost': 70.34630215323047, 'interest_green_energy_cost': 0.5855323213799852, 'interest_smarthome_cost': 433.3528709251465, 'interest_bm_cost': 0.38899957957193265}";"Subservice feasible combination (monthly)"
